full_citation,doi_or_url,study_type,dataset,methods,results,limitations,supports_project,manuscript_section
"Jin D, Szolovits P. PICO Element Detection in Medical Text via Long Short-Term Memory Neural Networks. BioNLP 2018.",https://aclanthology.org/W18-2308/,Biomedical NLP method paper,PubMed-PICO,LSTM/BiLSTM-style neural PICO sentence detection,Reports PICO element detection experiments; exact values not reused here,Specialized PICO labels and abstract-domain data,Primary dataset and neural baseline rationale,"Introduction, Methods"
"Dernoncourt F, Lee JY. PubMed 200k RCT: a Dataset for Sequential Sentence Classification in Medical Abstracts. arXiv:1710.06071, 2017.",https://arxiv.org/abs/1710.06071,Dataset paper,PubMed 20k/200k RCT,Sentence-level abstract role classification dataset construction,Introduces public RCT sentence-classification corpora,Section labels are proxies for sentence semantics,External validation dataset and task framing,"Data, External validation"
"Amini I, Cavedon L, Martinez D, Molla D. NICTA PIBOSO dataset: ALTA 2012 Shared Task version. Zenodo, 2018.",https://doi.org/10.5281/zenodo.1292324,Dataset record,NICTA-PIBOSO,Manual abstract sentence annotation,"Metadata reports a corpus of 1,000 medical abstracts",Latest record restricted; usable files not available in this run,Explains external validation search and rejection,Limitations
"Jin Q, Dhingra B, Liu Z, Cohen WW, Lu X. PubMedQA: A Dataset for Biomedical Research Question Answering. EMNLP-IJCNLP 2019.",https://aclanthology.org/D19-1259/,Dataset paper,PubMedQA,Biomedical question answering benchmark,Introduces PubMedQA task and resources,Different task and small expert-labeled subset,Alternative dataset considered,Related work
"Gurulingappa H, Rajput AM, Roberts A, Fluck J, Hofmann-Apitius M, Toldo L. Development of a benchmark corpus to support the automatic extraction of drug-related adverse effects from medical case reports. Journal of Biomedical Semantics. 2012;3:15.",https://doi.org/10.1186/2041-1480-3-15,Dataset paper,ADE Corpus,Adverse drug event corpus construction,Introduces ADE benchmark corpus,Relation extraction rather than clean sentence classification,Alternative dataset considered,Related work
"Cortes C, Vapnik V. Support-vector networks. Machine Learning. 1995;20:273-297.",https://doi.org/10.1007/BF00994018,Method paper,General ML,Support vector machines,Introduces support-vector network formulation,Not biomedical-specific,Linear SVM baseline,Methods
"Hochreiter S, Schmidhuber J. Long Short-Term Memory. Neural Computation. 1997;9(8):1735-1780.",https://doi.org/10.1162/neco.1997.9.8.1735,Method paper,General neural networks,LSTM recurrent neural network,Introduces LSTM architecture,Not biomedical-specific,LSTM baseline,Methods
"Schuster M, Paliwal KK. Bidirectional recurrent neural networks. IEEE Transactions on Signal Processing. 1997;45(11):2673-2681.",https://doi.org/10.1109/78.650093,Method paper,General sequence modelling,Bidirectional recurrent networks,Introduces bidirectional recurrent processing,Not biomedical-specific,BiLSTM baseline,Methods
"Pedregosa F, Varoquaux G, Gramfort A, et al. Scikit-learn: Machine Learning in Python. Journal of Machine Learning Research. 2011;12:2825-2830.",https://www.jmlr.org/papers/v12/pedregosa11a.html,Software paper,General ML,Machine-learning library,Describes scikit-learn,"Software reference, not a clinical study",Classical model implementation,Software
"Guo C, Pleiss G, Sun Y, Weinberger KQ. On Calibration of Modern Neural Networks. ICML 2017.",https://proceedings.mlr.press/v70/guo17a.html,Calibration method paper,General ML,Calibration assessment and temperature scaling,Reports temperature scaling as a simple post-hoc calibration method,Not clinical-domain-specific,Neural calibration plan,Calibration
"Van Calster B, McLernon DJ, van Smeden M, Wynants L, Steyerberg EW. Calibration: the Achilles heel of predictive analytics. BMC Medicine. 2019;17:230.",https://doi.org/10.1186/s12916-019-1466-7,Clinical prediction/calibration perspective,Clinical prediction models,Calibration concepts and reporting,Argues calibration should be assessed alongside discrimination,Perspective/review-style article,Calibration rationale,"Introduction, Discussion"
Brier GW. Verification of forecasts expressed in terms of probability. Monthly Weather Review. 1950;78(1):1-3.,https://doi.org/10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2,Scoring rule paper,Forecasting,Brier score,Introduces probability forecast verification score,Not biomedical-specific,Brier score metric,Methods
"Collins GS, Reitsma JB, Altman DG, Moons KGM. Transparent Reporting of a multivariable prediction model for Individual Prognosis Or Diagnosis (TRIPOD): The TRIPOD Statement. BMC Medicine. 2015;13:1.",https://doi.org/10.1186/s12916-014-0241-z,Reporting guideline,Prediction model studies,Reporting checklist,Defines transparent reporting elements for prediction model studies,"Designed for clinical prediction models, not abstract triage specifically",Reporting and external validation framing,"Methods, Discussion"
"Liu X, Cruz Rivera S, Moher D, Calvert MJ, Denniston AK. Reporting guidelines for clinical trial reports for interventions involving artificial intelligence: the CONSORT-AI extension. Nature Medicine. 2020;26:1364-1374.",https://doi.org/10.1038/s41591-020-1034-x,Reporting guideline,AI clinical trials,CONSORT-AI extension,Provides AI clinical trial reporting guidance,This project is not a clinical trial,Responsible boundary-setting around deployment claims,"Ethics, Discussion"
